country,climate_zone,latitude,longitude,date,month,temperature,humidity,rainfall,wind_speed,crop_type,crop_susceptibility,historical_infestation,aphid_risk,country_encoded,climate_encoded,crop_encoded
Spain,temperate,41.5239,-4.5063,2023-10-18,10,12.3,42.7,78.6,11.0,Sugarcane,0.3,0.626,0.0,38,3,6
Turkey,temperate,40.3211,34.091,2020-11-09,11,13.6,61.9,62.4,8.2,Cotton,0.5,0.378,0.0,42,3,1
India,tropical,21.6337,79.8794,2022-07-03,7,33.6,65.9,107.4,11.0,Sugarcane,0.3,0.648,0.029,15,4,6
Thailand,tropical,17.2499,102.2674,2020-04-05,4,33.3,78.1,1.1,11.1,Wheat,0.8,0.252,0.077,41,4,7
Norway,continental,61.0913,7.7283,2021-08-08,8,16.7,38.7,14.1,23.2,Soybean,0.9,0.697,0.051,28,1,5
Ethiopia,tropical,8.4018,42.27,2020-05-30,5,21.6,64.0,134.5,8.0,Potato,0.4,0.515,0.0,10,4,3
Egypt,arid,24.9821,30.1907,2022-02-04,2,32.9,32.4,4.3,19.5,Cotton,0.5,0.373,0.057,9,0,1
Brazil,tropical,-15.0335,-53.1556,2020-02-11,2,21.2,87.5,79.5,4.7,Rice,0.6,0.245,0.0,4,4,4
Belgium,temperate,51.514,5.6456,2020-07-12,7,20.2,46.7,89.9,1.9,Potato,0.4,0.257,0.003,3,3,3
Belgium,temperate,50.3205,4.4475,2021-12-17,12,5.3,77.9,49.1,1.7,Barley,0.7,0.332,0.0,3,3,0
Ethiopia,tropical,10.7437,39.4566,2022-08-11,8,22.7,79.2,213.1,5.0,Soybean,0.9,0.539,0.035,10,4,5
South Africa,temperate,-28.6515,22.5011,2021-06-09,6,27.4,48.3,94.9,9.0,Sugarcane,0.3,0.68,0.038,36,3,6
Spain,temperate,40.2346,-2.8339,2020-12-05,12,-0.5,76.0,146.8,9.7,Soybean,0.9,0.457,0.0,38,3,5
France,temperate,44.8874,0.9365,2020-11-05,11,8.2,66.9,53.6,16.1,Sugarcane,0.3,0.258,0.049,12,3,6
Philippines,tropical,12.8442,122.9256,2022-03-21,3,33.9,90.1,82.3,5.6,Potato,0.4,0.783,0.011,31,4,3
Norway,continental,61.4493,9.5811,2021-01-16,1,-7.2,36.0,75.0,8.4,Sugarcane,0.3,0.524,0.016,28,1,6
Philippines,tropical,11.5934,120.5091,2020-05-18,5,25.6,73.9,248.0,14.9,Rice,0.6,0.795,0.0,31,4,4
New Zealand,temperate,-41.9455,175.3738,2020-08-03,8,22.3,84.0,122.0,6.3,Maize,0.7,0.338,0.0,26,3,2
Thailand,tropical,17.5522,102.3296,2021-10-22,10,20.3,84.8,32.1,1.7,Barley,0.7,0.559,0.0,41,4,0
Morocco,arid,32.4121,-9.0694,2021-12-08,12,20.5,40.2,9.8,10.1,Barley,0.7,0.416,0.063,23,0,0
Italy,temperate,42.7442,10.8744,2020-06-07,6,23.7,51.4,118.8,18.8,Soybean,0.9,0.333,0.038,18,3,5
Italy,temperate,42.7906,14.041,2022-02-10,2,11.8,48.6,107.3,15.2,Potato,0.4,0.007,0.024,18,3,3
Italy,temperate,41.5357,11.4036,2022-09-26,9,13.4,62.4,143.9,3.4,Cotton,0.5,0.232,0.021,18,3,1
Philippines,tropical,14.3376,120.2237,2021-07-07,7,24.4,63.8,176.8,9.8,Maize,0.7,0.554,0.027,31,4,2
Turkey,temperate,39.4884,37.0423,2020-02-27,2,16.9,62.0,38.5,12.8,Maize,0.7,0.513,0.032,42,3,2
South Korea,temperate,36.7609,128.628,2023-08-16,8,27.6,73.0,143.1,6.5,Soybean,0.9,0.549,0.008,37,3,5
Iran,arid,31.2614,54.207,2023-09-23,9,45.0,14.1,1.7,13.7,Potato,0.4,0.375,0.0,17,0,3
Portugal,temperate,39.27,-7.6522,2023-06-19,6,20.6,70.3,130.9,15.1,Maize,0.7,0.441,0.0,33,3,2
Pakistan,arid,30.9984,67.7143,2021-07-03,7,43.6,15.4,8.3,22.7,Barley,0.7,0.322,0.033,29,0,0
Finland,continental,64.9883,27.7501,2022-10-15,10,14.2,64.9,83.2,24.3,Rice,0.6,0.499,0.0,11,1,4
Spain,temperate,40.7188,-1.9222,2023-05-18,5,30.9,77.2,14.6,12.0,Soybean,0.9,0.741,0.09,38,3,5
Nigeria,tropical,8.8661,7.3976,2020-07-01,7,32.0,73.0,199.9,7.6,Sugarcane,0.3,0.694,0.035,27,4,6
New Zealand,temperate,-40.7805,174.2539,2021-10-05,10,4.2,45.2,115.3,9.8,Sugarcane,0.3,0.28,0.0,26,3,6
Canada,continental,56.0658,-106.1796,2022-08-14,8,23.8,41.6,85.4,10.1,Rice,0.6,0.527,0.0,5,1,4
Argentina,temperate,-38.2192,-64.6527,2020-11-04,11,3.1,75.2,48.0,10.0,Sugarcane,0.3,0.193,0.046,0,3,6
Ethiopia,tropical,9.1639,41.0399,2020-10-18,10,21.0,71.2,24.5,5.2,Cotton,0.5,0.527,0.027,10,4,1
Germany,temperate,52.4232,9.1586,2023-01-06,1,8.8,63.6,12.3,3.7,Barley,0.7,0.13,0.0,13,3,0
Germany,temperate,50.1852,9.3929,2021-04-28,4,25.3,58.8,14.1,0.9,Wheat,0.8,0.375,0.263,13,3,7
Japan,temperate,38.1704,137.6496,2020-06-21,6,28.2,51.8,139.7,11.1,Soybean,0.9,0.456,0.037,19,3,5
Ethiopia,tropical,10.6999,39.3682,2022-03-17,3,20.1,78.2,67.7,6.8,Cotton,0.5,0.564,0.032,10,4,1
Portugal,temperate,39.7338,-8.2463,2020-07-31,7,22.4,58.5,127.3,0.1,Barley,0.7,0.559,0.037,33,3,0
Bangladesh,temperate,23.0037,90.9625,2022-10-20,10,8.9,51.8,137.5,5.8,Barley,0.7,0.488,0.024,2,3,0
Poland,temperate,50.0966,20.4399,2020-07-01,7,27.1,70.5,51.3,15.9,Maize,0.7,0.246,0.053,32,3,2
Poland,temperate,52.3187,20.0576,2021-11-30,11,13.1,60.8,114.5,19.1,Maize,0.7,0.309,0.038,32,3,2
Vietnam,tropical,15.1175,107.4087,2022-01-17,1,22.6,83.1,56.9,1.7,Soybean,0.9,0.692,0.09,47,4,5
Ghana,tropical,9.0613,0.0804,2020-04-07,4,24.0,81.1,69.7,3.6,Potato,0.4,0.44,0.004,14,4,3
Venezuela,highland,4.7985,-67.3742,2022-09-01,9,12.3,71.5,98.1,14.8,Soybean,0.9,0.46,0.0,46,2,5
Netherlands,temperate,52.319,3.7466,2021-03-19,3,12.6,49.2,115.9,12.5,Rice,0.6,0.443,0.0,25,3,4
Japan,temperate,37.4097,136.7616,2023-08-16,8,23.0,45.1,19.1,15.6,Potato,0.4,0.415,0.0,19,3,3
Iran,arid,32.413,54.0361,2021-06-17,6,16.3,15.6,8.2,4.5,Sugarcane,0.3,0.156,0.048,17,0,6
Italy,temperate,40.8634,13.9831,2023-02-21,2,13.4,54.8,114.1,6.5,Soybean,0.9,0.363,0.0,18,3,5
Belgium,temperate,51.9303,2.9312,2020-12-29,12,7.7,40.4,3.6,15.7,Sugarcane,0.3,0.124,0.037,3,3,6
India,tropical,20.1545,77.0128,2021-01-29,1,33.9,68.7,97.3,2.2,Wheat,0.8,0.337,0.0,15,4,7
Ghana,tropical,5.9432,-1.5001,2020-02-12,2,27.0,64.9,86.4,14.4,Barley,0.7,0.538,0.0,14,4,0
Poland,temperate,50.4613,19.4746,2022-10-11,10,13.1,75.7,88.4,8.6,Wheat,0.8,0.39,0.034,32,3,7
Spain,temperate,40.9417,-2.6696,2023-04-05,4,27.2,69.7,148.2,0.3,Cotton,0.5,0.738,0.005,38,3,1
Vietnam,tropical,15.7024,108.7752,2020-10-17,10,25.3,94.9,55.7,3.4,Barley,0.7,0.502,0.0,47,4,0
Japan,temperate,37.17,138.276,2021-03-19,3,17.5,41.5,83.2,7.5,Rice,0.6,0.494,0.0,19,3,4
Iran,arid,33.0304,55.2339,2022-08-08,8,42.5,23.7,16.8,20.1,Rice,0.6,0.149,0.0,17,0,4
Malaysia,tropical,2.9531,99.9014,2023-09-03,9,21.3,72.6,214.7,0.5,Maize,0.7,0.313,0.036,21,4,2
Japan,temperate,35.4559,140.0223,2022-10-16,10,4.8,40.3,80.8,18.9,Maize,0.7,0.526,0.0,19,3,2
Italy,temperate,43.6786,12.5103,2020-03-14,3,18.4,83.3,67.1,15.2,Barley,0.7,0.329,0.0,18,3,0
Venezuela,highland,7.4507,-67.1186,2021-07-13,7,10.5,77.4,112.4,5.7,Cotton,0.5,0.531,0.0,46,2,1
Germany,temperate,52.3726,10.4163,2023-03-17,3,19.2,41.3,92.8,17.5,Soybean,0.9,0.141,0.034,13,3,5
Belgium,temperate,52.5174,4.9968,2020-12-06,12,0.1,50.3,15.0,3.4,Potato,0.4,0.209,0.031,3,3,3
Peru,highland,-10.4584,-76.5413,2023-10-28,10,9.1,76.4,109.2,13.9,Wheat,0.8,0.373,0.031,30,2,7
UK,temperate,54.6964,-1.6132,2020-05-01,5,28.6,82.0,4.1,1.7,Sugarcane,0.3,0.243,0.106,43,3,6
Nigeria,tropical,9.2189,8.3099,2023-09-24,9,26.3,68.3,124.8,11.8,Barley,0.7,0.504,0.0,27,4,0
Sri Lanka,tropical,7.1104,80.92,2020-01-09,1,25.0,79.3,16.7,10.3,Rice,0.6,0.602,0.038,39,4,4
Turkey,temperate,38.0868,35.2087,2022-04-15,4,23.0,78.7,89.3,4.9,Potato,0.4,0.366,0.002,42,3,3
France,temperate,45.9923,2.6613,2022-07-07,7,29.7,83.4,112.0,13.3,Maize,0.7,0.214,0.038,12,3,2
Nepal,highland,27.7356,84.5657,2022-03-12,3,8.6,64.5,165.1,4.3,Rice,0.6,0.266,0.0,24,2,4
Canada,continental,55.2597,-104.8469,2020-05-04,5,28.2,70.5,12.4,13.1,Soybean,0.9,0.336,0.044,5,1,5
Malaysia,tropical,5.6058,103.5204,2021-06-26,6,22.9,81.4,269.2,6.1,Sugarcane,0.3,0.637,0.0,21,4,6
Malaysia,tropical,2.5011,101.5264,2023-10-30,10,20.6,88.0,93.7,7.3,Soybean,0.9,0.472,0.0,21,4,5
Sri Lanka,tropical,7.6006,82.0855,2023-08-15,8,30.4,62.5,233.3,11.8,Potato,0.4,0.634,0.0,39,4,3
Iran,arid,32.0464,54.8892,2020-09-25,9,44.6,30.7,23.4,25.8,Wheat,0.8,0.496,0.038,17,0,7
Egypt,arid,27.7603,31.0213,2021-01-24,1,18.2,47.6,9.9,16.7,Potato,0.4,0.22,0.023,9,0,3
India,tropical,21.2622,80.1491,2023-05-28,5,31.1,87.4,170.2,4.6,Wheat,0.8,0.612,0.032,15,4,7
Mexico,arid,23.4837,-100.526,2020-01-03,1,44.1,40.7,2.3,11.5,Barley,0.7,0.028,0.0,22,0,0
Kenya,tropical,0.9354,39.4172,2023-07-21,7,26.8,79.4,125.3,7.5,Wheat,0.8,0.487,0.0,20,4,7
New Zealand,temperate,-42.6964,174.3365,2021-07-19,7,23.0,75.8,131.8,1.6,Soybean,0.9,0.385,0.026,26,3,5
Indonesia,tropical,-2.6301,113.868,2021-03-24,3,30.4,64.5,51.1,9.0,Barley,0.7,0.368,0.0,16,4,0
Poland,temperate,53.1625,19.8113,2020-09-27,9,14.6,83.1,19.6,5.7,Soybean,0.9,0.132,0.034,32,3,5
Finland,continental,62.1729,25.4127,2022-04-20,4,27.7,69.1,54.4,9.3,Soybean,0.9,0.481,0.058,11,1,5
Pakistan,arid,30.3558,68.0753,2021-05-13,5,38.1,25.7,24.9,13.8,Cotton,0.5,0.315,0.004,29,0,1
Philippines,tropical,14.8936,123.3033,2020-03-04,3,25.8,71.5,12.5,2.8,Wheat,0.8,0.611,0.238,31,4,7
Canada,continental,54.546,-108.1291,2022-06-08,6,24.7,36.8,30.0,19.3,Wheat,0.8,0.552,0.015,5,1,7
Finland,continental,65.8348,24.4276,2020-11-16,11,-8.4,69.2,53.8,4.8,Rice,0.6,0.37,0.02,11,1,4
Indonesia,tropical,0.7467,114.4898,2022-06-22,6,22.2,75.4,277.0,9.3,Barley,0.7,0.465,0.0,16,4,0
Malaysia,tropical,4.9759,103.4131,2022-05-28,5,21.2,94.0,97.0,3.9,Sugarcane,0.3,0.617,0.0,21,4,6
Argentina,temperate,-40.281,-63.4705,2022-08-11,8,17.4,44.9,115.5,16.0,Maize,0.7,0.149,0.027,0,3,2
Ukraine,temperate,46.9704,31.3826,2021-02-14,2,12.2,82.4,141.6,19.7,Cotton,0.5,0.694,0.0,45,3,1
Peru,highland,-11.122,-76.0035,2020-06-12,6,14.1,55.5,2.0,11.1,Potato,0.4,0.404,0.084,30,2,3
Poland,temperate,51.2602,17.3228,2023-02-25,2,8.3,72.3,101.2,3.4,Maize,0.7,0.27,0.0,32,3,2
Chile,temperate,-37.0501,-72.438,2020-07-05,7,15.7,51.8,23.3,19.0,Barley,0.7,0.245,0.0,6,3,0
Poland,temperate,52.2397,17.672,2022-01-14,1,8.8,67.6,7.1,14.9,Maize,0.7,0.266,0.043,32,3,2
South Africa,temperate,-29.4914,23.1341,2020-07-12,7,23.6,50.8,64.0,3.7,Wheat,0.8,0.609,0.066,36,3,7
Netherlands,temperate,51.0598,3.8204,2020-10-07,10,17.8,54.8,54.7,6.4,Wheat,0.8,0.705,0.0,25,3,7
Poland,temperate,53.6131,21.0577,2021-12-11,12,0.4,45.0,35.4,12.0,Potato,0.4,0.375,0.045,32,3,3
Malaysia,tropical,3.6119,100.7906,2023-08-31,8,21.4,84.8,228.3,6.3,Potato,0.4,0.485,0.004,21,4,3
Argentina,temperate,-39.0203,-62.7273,2020-02-10,2,4.6,51.3,62.7,16.5,Wheat,0.8,0.251,0.0,0,3,7
Germany,temperate,50.6232,11.6257,2021-11-27,11,0.8,53.3,2.8,13.1,Rice,0.6,0.384,0.017,13,3,4
Iran,arid,31.9326,52.5578,2023-03-04,3,36.7,27.6,25.6,24.2,Cotton,0.5,0.208,0.015,17,0,1
Germany,temperate,52.8391,12.3336,2022-05-20,5,18.8,52.4,54.3,12.0,Potato,0.4,0.249,0.056,13,3,3
Netherlands,temperate,52.6161,5.1899,2022-06-13,6,20.9,62.0,131.5,5.4,Maize,0.7,0.67,0.019,25,3,2
USA,temperate,39.853,-98.4166,2020-09-19,9,17.2,50.6,86.0,5.3,Cotton,0.5,0.62,0.0,44,3,1
Vietnam,tropical,13.7044,110.2452,2023-01-03,1,29.7,88.7,87.9,8.7,Soybean,0.9,0.553,0.034,47,4,5
Colombia,highland,6.1301,-72.4264,2022-06-06,6,11.6,82.7,184.4,1.7,Rice,0.6,0.278,0.021,8,2,4
Colombia,highland,6.2685,-72.9402,2022-12-15,12,17.8,77.4,10.8,9.8,Potato,0.4,0.409,0.0,8,2,3
Indonesia,tropical,-0.8858,115.3988,2021-03-04,3,23.0,83.3,66.6,9.0,Sugarcane,0.3,0.303,0.011,16,4,6
Sri Lanka,tropical,6.9089,80.0599,2020-04-20,4,20.4,84.3,9.2,2.7,Cotton,0.5,0.395,0.094,39,4,1
India,tropical,20.8847,78.8367,2021-08-30,8,28.8,62.6,266.8,14.0,Potato,0.4,0.556,0.047,15,4,3
New Zealand,temperate,-40.6974,172.9689,2020-09-22,9,22.7,56.0,52.7,1.2,Soybean,0.9,0.389,0.0,26,3,5
South Korea,temperate,37.168,126.8007,2020-05-20,5,24.5,54.9,89.4,5.6,Potato,0.4,0.701,0.02,37,3,3
Ethiopia,tropical,7.4428,41.6977,2022-08-30,8,21.6,71.5,222.2,8.6,Wheat,0.8,0.466,0.042,10,4,7
Egypt,arid,27.8488,29.6318,2021-12-19,12,44.4,38.1,15.9,13.1,Cotton,0.5,0.163,0.0,9,0,1
Brazil,tropical,-14.4851,-53.468,2021-07-15,7,21.1,94.7,232.3,12.7,Wheat,0.8,0.46,0.036,4,4,7
USA,temperate,37.7556,-99.3716,2020-09-25,9,21.1,55.0,131.5,4.3,Maize,0.7,0.606,0.0,44,3,2
Norway,continental,60.2711,7.3687,2021-09-04,9,2.5,49.8,58.9,18.5,Soybean,0.9,0.425,0.006,28,1,5
Thailand,tropical,14.3836,101.7731,2023-07-19,7,23.5,63.0,21.5,7.5,Cotton,0.5,0.508,0.001,41,4,1
Italy,temperate,40.532,14.4756,2022-05-27,5,18.9,84.6,50.0,16.9,Potato,0.4,0.173,0.048,18,3,3
France,temperate,47.6966,0.2423,2023-03-28,3,18.6,46.3,9.0,1.9,Potato,0.4,0.224,0.07,12,3,3
Turkey,temperate,37.9312,36.6615,2020-05-21,5,26.6,83.3,131.3,4.3,Cotton,0.5,0.742,0.0,42,3,1
Belgium,temperate,51.6692,6.3011,2020-02-28,2,10.9,67.1,51.4,9.7,Rice,0.6,0.238,0.033,3,3,4
Netherlands,temperate,52.7504,5.0937,2020-09-16,9,22.4,67.3,140.1,19.7,Barley,0.7,0.592,0.0,25,3,0
Indonesia,tropical,0.1416,114.0342,2020-08-14,8,20.7,86.7,200.3,5.8,Soybean,0.9,0.258,0.0,16,4,5
Japan,temperate,34.6651,136.8759,2023-02-24,2,6.7,46.0,64.0,5.4,Cotton,0.5,0.766,0.014,19,3,1
Spain,temperate,38.6605,-5.518,2020-04-13,4,20.6,53.2,62.4,14.5,Maize,0.7,0.558,0.069,38,3,2
Vietnam,tropical,15.0087,106.6564,2021-07-21,7,20.8,93.9,178.8,0.8,Soybean,0.9,0.678,0.013,47,4,5
Russia,continental,60.7843,107.0664,2023-11-12,11,-3.1,36.6,6.9,14.3,Sugarcane,0.3,0.47,0.0,34,1,6
Sri Lanka,tropical,5.9558,80.5987,2023-04-09,4,34.1,75.1,69.7,5.6,Rice,0.6,0.572,0.011,39,4,4
Indonesia,tropical,-1.1076,112.8123,2023-03-21,3,28.6,80.6,58.5,7.7,Potato,0.4,0.524,0.049,16,4,3
Australia,temperate,-24.8376,133.3017,2021-01-20,1,13.4,67.4,2.6,13.0,Wheat,0.8,0.494,0.072,1,3,7
Iran,arid,31.8174,53.7423,2023-11-23,11,18.3,14.7,28.4,11.2,Potato,0.4,0.422,0.025,17,0,3
Australia,temperate,-24.3904,133.1062,2020-12-29,12,9.3,47.1,22.9,13.2,Cotton,0.5,0.277,0.032,1,3,1
Canada,continental,55.1357,-106.0175,2020-12-16,12,-11.6,32.4,62.3,1.6,Cotton,0.5,0.4,0.0,5,1,1
Mexico,arid,24.0761,-103.5402,2020-04-02,4,15.0,27.1,13.9,4.9,Maize,0.7,0.299,0.03,22,0,2
Japan,temperate,37.203,136.6112,2022-10-20,10,11.5,53.4,125.5,0.8,Potato,0.4,0.465,0.019,19,3,3
Vietnam,tropical,12.3545,106.4374,2023-06-28,6,28.3,68.5,163.6,9.8,Maize,0.7,0.713,0.006,47,4,2
India,tropical,19.0195,76.9318,2020-12-27,12,20.5,64.0,97.7,0.4,Potato,0.4,0.466,0.044,15,4,3
Peru,highland,-8.7792,-75.0303,2020-03-12,3,19.5,50.2,21.1,1.7,Maize,0.7,0.448,0.083,30,2,2
Chile,temperate,-36.0775,-69.7784,2020-05-31,5,28.4,70.1,114.5,0.2,Cotton,0.5,0.319,0.049,6,3,1
UK,temperate,53.569,-1.6645,2023-09-28,9,18.8,69.6,80.1,5.6,Potato,0.4,0.314,0.05,43,3,3
Ethiopia,tropical,10.3489,39.5273,2022-11-01,11,23.0,74.7,28.9,12.6,Sugarcane,0.3,0.548,0.024,10,4,6
Spain,temperate,39.0629,-2.8338,2020-01-24,1,10.2,78.6,27.6,14.1,Potato,0.4,0.637,0.032,38,3,3
Colombia,highland,6.177,-72.2511,2023-10-05,10,6.0,65.5,56.7,5.4,Barley,0.7,0.305,0.047,8,2,0
Italy,temperate,43.4827,13.4155,2020-05-12,5,21.8,71.7,41.1,6.3,Maize,0.7,0.133,0.058,18,3,2
France,temperate,46.7001,2.9259,2020-08-24,8,22.3,61.6,15.7,9.9,Potato,0.4,0.222,0.0,12,3,3
Turkey,temperate,38.7908,35.9603,2020-03-30,3,17.0,54.3,77.9,3.6,Sugarcane,0.3,0.738,0.017,42,3,6
Sweden,continental,61.7159,20.5198,2021-08-31,8,16.9,38.5,17.4,13.6,Maize,0.7,0.617,0.0,40,1,2
Poland,temperate,51.2427,17.1135,2023-04-22,4,13.9,76.0,144.0,12.2,Sugarcane,0.3,0.068,0.016,32,3,6
China,temperate,37.339,103.9311,2020-03-16,3,8.0,71.0,115.1,5.4,Wheat,0.8,0.043,0.0,7,3,7
Brazil,tropical,-15.335,-51.0049,2023-03-09,3,34.7,79.5,19.9,14.8,Maize,0.7,0.261,0.027,4,4,2
Italy,temperate,42.4837,13.5929,2021-08-11,8,12.2,42.5,76.5,0.7,Soybean,0.9,0.213,0.032,18,3,5
Bangladesh,temperate,21.7241,91.5308,2020-06-09,6,25.2,40.5,71.7,19.7,Potato,0.4,0.678,0.0,2,3,3
Turkey,temperate,39.8725,34.9545,2023-03-31,3,13.1,74.3,15.8,13.4,Rice,0.6,0.513,0.046,42,3,4
Argentina,temperate,-40.201,-62.8148,2022-05-22,5,30.6,47.0,36.8,18.4,Maize,0.7,0.18,0.016,0,3,2
Canada,continental,57.031,-104.5462,2021-07-28,7,31.6,37.8,51.1,6.1,Sugarcane,0.3,0.38,0.022,5,1,6
Argentina,temperate,-37.1547,-62.4247,2023-05-13,5,30.6,46.7,120.9,18.5,Barley,0.7,0.402,0.0,0,3,0
Ethiopia,tropical,7.9788,41.0012,2021-01-18,1,22.3,83.7,83.3,12.1,Wheat,0.8,0.427,0.047,10,4,7
Turkey,temperate,38.2093,33.4352,2020-04-02,4,22.6,70.5,118.7,9.3,Maize,0.7,0.678,0.061,42,3,2
Malaysia,tropical,4.4914,100.2013,2023-06-20,6,23.5,75.7,25.1,9.0,Sugarcane,0.3,0.415,0.024,21,4,6
Germany,temperate,52.5102,11.2338,2021-02-19,2,14.1,76.0,9.6,19.2,Barley,0.7,0.39,0.049,13,3,0
Ethiopia,tropical,7.9016,40.0518,2020-03-08,3,30.5,68.5,67.4,1.9,Rice,0.6,0.614,0.067,10,4,4
Australia,temperate,-26.8873,132.3043,2022-03-04,3,21.4,55.0,44.5,8.8,Maize,0.7,0.382,0.064,1,3,2
Ukraine,temperate,47.2531,32.6135,2020-03-09,3,16.7,64.6,138.9,12.1,Wheat,0.8,0.388,0.059,45,3,7
Poland,temperate,52.3273,17.1087,2023-05-18,5,24.6,52.6,17.5,3.1,Barley,0.7,0.227,0.148,32,3,0
New Zealand,temperate,-41.9494,176.606,2021-01-12,1,1.4,72.1,79.1,15.8,Maize,0.7,0.388,0.048,26,3,2
Chile,temperate,-36.4181,-69.6753,2020-07-05,7,25.1,78.7,21.1,7.1,Sugarcane,0.3,0.192,0.055,6,3,6
Chile,temperate,-35.9388,-70.7238,2022-04-22,4,22.3,49.8,122.8,5.8,Rice,0.6,0.358,0.0,6,3,4
Venezuela,highland,8.1242,-65.4603,2023-02-24,2,7.5,69.2,129.9,12.4,Wheat,0.8,0.462,0.0,46,2,7
Bangladesh,temperate,23.4383,91.7338,2023-08-13,8,21.5,76.0,63.9,4.1,Potato,0.4,0.719,0.0,2,3,3
Philippines,tropical,14.0447,123.16,2023-07-29,7,28.0,72.5,202.3,14.7,Cotton,0.5,0.606,0.052,31,4,1
Kenya,tropical,0.9494,38.6612,2023-08-30,8,27.4,75.9,138.2,13.7,Rice,0.6,0.503,0.0,20,4,4
Philippines,tropical,11.6589,123.6638,2023-05-07,5,25.6,82.0,202.2,1.0,Maize,0.7,0.784,0.0,31,4,2
Brazil,tropical,-14.5459,-50.8423,2023-04-05,4,27.5,63.4,51.4,1.4,Wheat,0.8,0.309,0.041,4,4,7
Mexico,arid,23.3376,-101.0343,2022-05-08,5,41.9,13.3,11.6,5.6,Rice,0.6,0.232,0.0,22,0,4
Italy,temperate,39.9488,14.4318,2022-06-24,6,31.3,79.3,94.1,3.3,Soybean,0.9,0.264,0.007,18,3,5
Vietnam,tropical,12.1146,107.0904,2021-03-14,3,23.8,64.7,48.6,7.6,Sugarcane,0.3,0.479,0.01,47,4,6
Iran,arid,32.5976,55.0911,2022-02-22,2,25.0,29.3,20.5,18.0,Rice,0.6,0.358,0.0,17,0,4
Philippines,tropical,11.8894,120.1184,2023-12-02,12,22.7,75.8,51.4,3.1,Soybean,0.9,0.543,0.032,31,4,5
Vietnam,tropical,13.4801,110.0888,2023-12-10,12,20.4,72.6,40.0,5.2,Potato,0.4,0.717,0.025,47,4,3
